GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ForexCard,com.forexcard,ForexCardApplication,5,3,0,0,2,1,1,1,1,1
ForexCard,com.forexcard.model,Currency,56,0,0,0,21,0,11,0,11,0
ForexCard,com.forexcard.model,ForexCard,137,3,0,0,47,2,24,1,24,1
ForexCard,com.forexcard.model,Transaction,125,3,0,0,43,2,22,1,22,1
ForexCard,com.forexcard.model,User,166,6,0,0,66,3,33,1,33,1
ForexCard,com.forexcard.pdf,PdfGeneratorService.new PdfPageEventHelper() {...},57,0,0,0,15,0,2,0,2,0
ForexCard,com.forexcard.pdf,PdfGeneratorService,369,0,8,0,71,0,7,0,3,0
ForexCard,com.forexcard.dto,PendingUserDTO,126,0,0,0,52,0,26,0,26,0
ForexCard,com.forexcard.dto,UserDTO,56,0,0,0,21,0,11,0,11,0
ForexCard,com.forexcard.dto,UserDetailsDTO,86,0,0,0,36,0,18,0,18,0
ForexCard,com.forexcard.controller,ApplyCardController,57,3,4,0,18,1,4,1,2,1
ForexCard,com.forexcard.controller,ForgotPasswordController,31,3,4,0,8,1,3,1,1,1
ForexCard,com.forexcard.controller,CurrencyController,21,3,2,0,6,1,3,1,2,1
ForexCard,com.forexcard.controller,UserController,120,3,8,0,27,1,11,1,7,1
ForexCard,com.forexcard.controller,AdminController,23,3,0,0,6,1,3,1,3,1
ForexCard,com.forexcard.controller,EmailController,100,12,10,0,24,5,8,1,3,1
ForexCard,com.forexcard.controller,AuthController,68,3,8,0,13,1,5,1,1,1
ForexCard,com.forexcard.controller,ForexCardController,71,3,8,0,17,1,9,1,5,1
ForexCard,com.forexcard.controller,TransactionController,23,3,0,0,5,1,3,1,3,1
ForexCard,com.forexcard.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
ForexCard,com.forexcard.exception,AuthenticationFailedException,4,0,0,0,2,0,1,0,1,0
ForexCard,com.forexcard.exception,GlobalExceptionHandler,13,3,0,0,3,1,2,1,2,1
ForexCard,com.forexcard.config,JwtFilter,70,3,6,0,19,1,4,1,1,1
ForexCard,com.forexcard.config,SecurityConfig,0,72,0,0,0,14,0,3,0,3
ForexCard,com.forexcard.config,WebConfig,0,51,0,0,0,7,0,2,0,2
ForexCard,com.forexcard.util,JwtUtil,48,9,0,0,17,2,3,1,3,1
ForexCard,com.forexcard.dataload,DataLoader,251,10,1,1,24,3,1,2,0,2
ForexCard,com.forexcard.dataload,AdminAuditorSet,48,17,2,2,12,6,2,2,0,2
ForexCard,com.forexcard.service,AdminService,134,8,4,0,28,2,9,2,7,2
ForexCard,com.forexcard.service,TransactionService,255,3,10,0,57,1,10,1,5,1
ForexCard,com.forexcard.service,AuthService,40,3,4,0,6,1,5,1,3,1
ForexCard,com.forexcard.service,CurrencyService,21,3,0,0,4,1,3,1,3,1
ForexCard,com.forexcard.service,EmailService,397,13,22,0,102,3,27,1,16,1
ForexCard,com.forexcard.service,ForexCardService,260,3,28,0,55,1,23,1,9,1
ForexCard,com.forexcard.service,UserService,75,6,2,0,17,3,6,1,5,1
ForexCard,com.forexcard.service,ApplyCardService,98,3,4,0,23,1,6,1,4,1
ForexCard,com.forexcard.service,ForgotPasswordService,24,3,2,0,6,1,2,1,1,1
